user_id,total_transactions,total_spent,avg_transaction,max_transaction,min_transaction,total_rental_hours
5144945047,3,1640.0,546.6666666666666,690.0,400.0,144.0
0e672a709e,2,1280.0,640.0,680.0,600.0,80.0
a39cfd7ab5,1,510.0,510.0,510.0,510.0,51.0
010ad799a1,1,1440.0,1440.0,1440.0,1440.0,72.0
b31a334b34,2,1470.0,735.0,1020.0,450.0,96.0
d8583ddc9e,2,560.0,280.0,460.0,100.0,51.0
3caefcaa02,1,3500.0,3500.0,3500.0,3500.0,70.0
fea0119e06,1,3200.0,3200.0,3200.0,3200.0,64.0
5c6f9fec4e,2,1440.0,720.0,1180.0,260.0,85.0
4f8a44e2f4,1,1400.0,1400.0,1400.0,1400.0,28.0
a93737c73f,1,250.0,250.0,250.0,250.0,25.0
c6feed07b9,2,570.0,285.0,450.0,120.0,15.0
b93679007c,1,100.0,100.0,100.0,100.0,5.0
879b91b696,1,1200.0,1200.0,1200.0,1200.0,60.0
3dc7fa3eb1,3,1280.0,426.6666666666667,490.0,360.0,128.0
8b9c9c9595,2,900.0,450.0,720.0,180.0,54.0
ad77dd3a1c,2,930.0,465.0,750.0,180.0,33.0
433991741b,1,30.0,30.0,30.0,30.0,3.0
abc86646a2,2,1240.0,620.0,900.0,340.0,79.0
d601306de9,1,550.0,550.0,550.0,550.0,55.0
a0f2d12920,3,3490.0,1163.3333333333333,1950.0,280.0,130.0
09c15e24c4,3,3500.0,1166.6666666666667,1320.0,900.0,148.0
f1d3bc4dc6,1,40.0,40.0,40.0,40.0,2.0
0a36e51ee4,1,470.0,470.0,470.0,470.0,47.0
5effe949ff,3,2690.0,896.6666666666666,1400.0,450.0,121.0
07deffd10f,2,1400.0,700.0,1300.0,100.0,75.0
debaed2580,2,770.0,385.0,600.0,170.0,77.0
0fd94f7db6,3,550.0,183.33333333333334,260.0,140.0,35.0
0a2d8a09b4,1,100.0,100.0,100.0,100.0,10.0
6ec061c60f,3,2430.0,810.0,1340.0,130.0,128.0
b6b235d0fd,3,1180.0,393.3333333333333,590.0,240.0,118.0
70b1978523,3,4340.0,1446.6666666666667,3450.0,410.0,158.0
4889a59863,2,1350.0,675.0,690.0,660.0,102.0
11bd16bdde,2,4010.0,2005.0,2950.0,1060.0,112.0
ca189ea25c,1,200.0,200.0,200.0,200.0,10.0
08d48d2e39,3,1020.0,340.0,420.0,220.0,51.0
e45e5c66b3,2,1810.0,905.0,1420.0,390.0,110.0
fd7e896d27,1,660.0,660.0,660.0,660.0,66.0
6272f096bb,3,2180.0,726.6666666666666,1440.0,100.0,114.0
e24968ba6e,3,990.0,330.0,420.0,180.0,99.0
e5bac18adf,2,3810.0,1905.0,3100.0,710.0,133.0
82bad9ee2b,1,800.0,800.0,800.0,800.0,16.0
ef51cca5cc,3,2960.0,986.6666666666666,1650.0,650.0,131.0
945ab9c662,3,1080.0,360.0,820.0,80.0,63.0
7c5f88847e,2,1540.0,770.0,1380.0,160.0,85.0
08e488af73,2,1630.0,815.0,1220.0,410.0,102.0
4cc06f69f9,1,1260.0,1260.0,1260.0,1260.0,63.0
9769399a33,2,7000.0,3500.0,3600.0,3400.0,140.0
701a398da2,2,3310.0,1655.0,3150.0,160.0,79.0
7b8b72e095,1,460.0,460.0,460.0,460.0,23.0
4e2670f986,1,940.0,940.0,940.0,940.0,47.0
54f64ca4fc,2,1540.0,770.0,940.0,600.0,77.0
93dc26d69e,1,850.0,850.0,850.0,850.0,17.0
35d03652cc,2,3790.0,1895.0,3350.0,440.0,111.0
6c822ddad5,3,1380.0,460.0,900.0,180.0,42.0
a6716391e1,2,1580.0,790.0,1300.0,280.0,79.0
a322d10ed5,2,510.0,255.0,350.0,160.0,43.0
16db527e0f,3,2440.0,813.3333333333334,1420.0,220.0,122.0
2fc4590420,2,1200.0,600.0,680.0,520.0,86.0
9221a8ef8e,1,330.0,330.0,330.0,330.0,33.0
ac72c817ce,2,4300.0,2150.0,3600.0,700.0,107.0
af2f58b442,1,1080.0,1080.0,1080.0,1080.0,54.0
f2c4b29ac2,2,890.0,445.0,860.0,30.0,46.0
2183edbd33,3,3900.0,1300.0,2800.0,280.0,125.0
5cec793075,1,780.0,780.0,780.0,780.0,39.0
3e1a9479bc,1,1550.0,1550.0,1550.0,1550.0,31.0
61e0b2eeae,3,1750.0,583.3333333333334,1220.0,90.0,92.0
799671b643,1,1420.0,1420.0,1420.0,1420.0,71.0
275bc4b488,2,2000.0,1000.0,1400.0,600.0,100.0
2f215c382b,2,1640.0,820.0,1360.0,280.0,82.0
e10f3d865c,2,1600.0,800.0,1340.0,260.0,93.0
e3ba22bff8,1,260.0,260.0,260.0,260.0,13.0
08a822f5c2,1,30.0,30.0,30.0,30.0,3.0
07afb91acd,2,2180.0,1090.0,1320.0,860.0,109.0
a7864b53e0,1,2950.0,2950.0,2950.0,2950.0,59.0
6a065a1b3c,1,70.0,70.0,70.0,70.0,7.0
c448f24c43,3,4320.0,1440.0,2300.0,780.0,147.0
